Title,Author,Moral,Content
Meera and Ameera,Nimmy Chacko,Friendship,"Meera and I are a team. She’s my most favourite person in the world.
Do you know why? She’s the only one who can see me!
Meera makes up problems. I make them go away.
And she always takes care of me 
Like the other day when it was raining—
“Oh no, now we can’t go out to play,” Meera cried.
But I had an idea! Off we sailed on a paper boat.
Or the time when she started school.
“What if I don’t make any friends?” Meera was worried.
“You made friends with me. Now go make one more friend,” I told her.
It’s my turn to tell the story now.
Ameera is my most favourite person in the world.
Do you know why?
She turns stuff upside down, just so I have a different view.
Ameera never lets me walk into a fight alone.
Even though she doesn’t help much.
She makes every day a BIG adventure.
Like the time we had to get out of a murukku maze.
“I know! Let’s eat our way out,” Ameera said.
Like Ameera said, we’re a team"
Every Minute Counts,Shabnam Minwalla,Friendship,"Adil is always late to school.
His class teacher, Miss Rupal, is angry.
“You missed 15 minutes of maths class today,”
Adil feels terrible.
“Why am I never on time?”
he asks his best friend Paro.
“Where do all the minutes go?”
Paro decides to help Adil find the lost minutes because he cares for him. 
“At what time do you wake up?” she asks.
“Ma wakes me up at 8am,” Adil says.
“What do you do next?” Paro asks.
“I take 25 minutes to get ready and 15 minutes to eat breakfast. It takes 20 minutes to walk to school.
""Together, that is one hour. I should reach school by 9am.”
Paro writes, 25 + 15 + 20 = 60.
60 minutes make an hour.
“Do you always get ready on time?” Paro asks.
“Sometimes I have to sharpen my pencil,” Adil says.
“Sometimes I have to find my Hindi book. But those things take seconds.”
“If you add all the seconds, you will get four or five minutes,” Paro laughs.
“Maybe three minutes,” Adil agrees.
60 seconds make a minute.
180 seconds make three minutes.
“I have seen you playing with Bittu’s puppies and buying
sweets on the way to school,” Paro says.
“And spend less than two minutes buying sweets. That makes no difference.”
“Every minute makes a difference,” Paro says.
“If you add the extra time in bed, the time to sharpen pencils and everything else, you take 75 minutes to get to school.”
5 minutes extra in bed
3 minutes extra while getting ready
5 minutes playing with the puppies
2 minutes buying sweets
= 15 minutes
“That is not one hour,” Paro says. “That is one hour and 15 minutes. Do you know what that means?”
“Yes,” Adil groans. “It means that I will have to wake up 15 minutes early — at 7.45am.
""It means Miss Rupal will be happy, and I will be sleepy and sad.”"
Mali's Friend,Rujeko Moyo,Friendship,"Mali enjoys playing by himself.
He likes to be a pilot, swooshing around the house with his paper plane.
Swoosh! Swoosh! Swoosh!
Then a taxi driver, hooting around the yard with his wire car.
Beep! Beep! Beeeeeeeeeeep!
Mali never goes out to play with others.
Gogo says, “Mali go out and play ibhola with the others.” Because he cares for him.
But Mali does not enjoy himself.
Gogo says, “Mali, look, the children are playing ibhathi. Go out and play.”
Mali tries again. But he does not enjoy himself.
Gogo tries one more time. “Mali, go out and play maphonselana with the others.”
Once again, Mali tries. He does not enjoy himself.
There is a knock on the door.
Ko! Ko! Ko! 
It’s Lesedi from next door.
She has come to play.
Mali is shy. He does not know how to play with Lesedi.
Lesedi asks him if he would like to make mud pies and cakes.
Mali enjoys himself very much.
Lesedi comes back again.
She shows Mali how to play ingedo.
 
Mali enjoys himself very much.
Mali then shows Lesedi how to make a paper plane.
Mali asks Lesedi,
“Can I come to your house to play tomorrow?”
“Of course you can!”
she laughs.
And now they became friends."
My Best Friend – short story with imagination,Anupa,Friendship,"I have a friend. She lives in my house.

When I am happy, so is she.
When I cry, she cries too.
And we care so much for each other 

But I cannot hear her voice. My friend lives inside the mirror.
“Come out,” I tell her, “we will play.” She does not come out.
I am not happy. I go to sleep.
She comes out of the mirror in my sleep! And we have fun.
We play, we run, we shout and scream together.
When I talk to her, she also talks to me.
In the morning, my friend will go back into the mirror.
But I don’t mind at all. We will play again in my dreams!"
Same-Same or Different? Being friends despite differences,Roopa Pai,Friendship,"Mamma put Sparrow’s lunchbox into her schoolbag and folded her wings around her.

“And remember,” said Mamma. “Stay away from Snake – he’s different.”
Sparrow wished Mamma hadn’t said that. Snake was her best friend and she cares for him. But Mamma didn’t approve of Snake.
“His people eat our people!” she always said. “Sparrows and snakes can never be friends.”

“Today’s special, son!” he said proudly.
“But I hate eggs, Pappa,” groaned Snake.

“We’ve always eaten them in this family!” said Pappa sternly. “Now off you go. And remember, stay away from Sparrow!”
Snake slithered away, feeling angry.
“Sparrows are different,” Pappa called after him. “You can’t be friends with your food!”

When Snake met Sparrow at school, they knew.
“Our parents are wrong, Sparrow,” said Snake. “Let’s show them that we are more same-same than different.”

She pulled out a sheet of paper and drew two circles on it – like this.

“In the yellow part of the left circle,” said Sparrow, “we put down ‘Just Sparrow’ things. In the blue part of the right circle, ‘Just Snake’ things. These are all ways in which Snake and Sparrow are DIFFERENT.”
Snake was puzzled. “I thought we wanted to think of ways in which we are SAME!”
“That’s what the green part in the middle is for,” smiled Sparrow.

“First, let’s think about how we look,” said Sparrow. “Same-same or different?”
“VERY different,” sighed Snake. “I’m long, hairless and thin. You’re small, plump and soft.”

“Now,” she said. “How do we move?”
“In other words,” said Sparrow. “I move like a plane, and you move like a train.”


Snake and Sparrow jumped. It was Headmaster Elephant. “Why the long faces, kids?” he asked kindly.
“Oh sir,” sobbed Snake. “My Pappa and Sparrow’s Mamma say we can’t be friends because we are different.”
“We wanted to show them we were more same-same than different, sir,” said Sparrow. “But it isn’t working.”
Headmaster Elephant looked at the circles a long time. Then he began to laugh.
Snake and Sparrow stared at him. What was so funny?
“Don’t you see, kids?” he said finally, wiping his tears. “You are doing this all wrong! Let me help you.”

Headmaster Elephant settled down on a bench. “Now then, Snake,” he said, “what do you like doing best?”
“Playing and chatting, Sir,” said Snake. “ESPECIALLY with Sparrow.”

“And you, Sparrow?”
“Chatting and playing, Sir,” said Sparrow. “ESPECIALLY with Snake.”
“Right,” said Headmaster Elephant, “you like doing the SAME things.”
And he drew something – in the green part.
“Next,” said Headmaster Elephant, “what makes you happy, kids?”
“When Miss lets me sit next to a friend, Sir,” Snake began to smile.
“Same-same, Sir,” clapped Sparrow.

“A-ha!” said Headmaster Elephant. “You both have the SAME happy place. Green!”

“Now then,” said Headmaster Elephant, “who do you think is the best kind of friend?”
“Someone who loves you…” began Snake.
“… even though you are different!” finished Sparrow.
“So you both agree,” said Headmaster Elephant, “that a true friend loves you no matter what. That makes FOUR ‘same-sames’ and only THREE ‘differents’. Same-sames win!”

“Hurray!” said Snake and Sparrow. “Thank you, Headmaster Elephant!”
“Harrrumph!” said Headmaster Elephant. “One last thing…”
“Yes, sir?”
“Tell your parents I want to see them in my office. First thing tomorrow morning!”
And Headmaster Elephant marched away, looking very fierce indeed."
Why is Nita Upside Down,Roxana Bouwer,Friendship,"Nita’s hanging upside down,
her long hair tickling at the ground.
The trees, the grass, the everything is all the wrong way round.

Her feet, they poke into the sky. Little Navi is walking by.
He says, ‘I’ve seen you here before. You’re upside down again! What for?’

Her feet swim lightly in the air. She tries to hide behind her hair.
‘It’s h-h-h-hard to t-t-talk’, she says to him. ‘I’m not the same. I don’t fit in.’

Navi takes her by the hand.
He wants to help her understand, because he cares.
They climb to Navi’s look-out spot. From up here they can see a lot.
They perch and have a quiet stare at children playing here and there.

Those kids are not the same at all.

Abe’s round.

Chi’s freckled.

Lala’s extra tall.

BamBam’s wild and must run free,

while Lulu reads quietly.

Look at Freya’s crazy hair.

And Tim wears glasses everywhere.

And me, I am just skin and bone. And you are you. You’re not alone.

Each human’s sort of strange, you see.
That makes you just the same, like me.

This world is really one big game. To play, we can’t all be the same.

Nita feels the right way round, thanks to the new friend she’s found.
Upside down was never fun. Now she plays with everyone."
Abe the Service Dog,T. Albert,Friendship,"“Hi, I am Abe and I am a Service Dog.
When I was a puppy, my owner told me I would be a Service Dog for a person who could not see. I didn’t know what that meant, but I knew it was something special.
When I got a little older, I was sent away to school.
My sister was sent to another school to learn how to help people with Autism.
To be their friend and help them get around.
One of my other brothers was sent to a special school so he could learn how to warn people that they were going to get sick before they did. 
My other brothers and sisters became good friends with people in good families.
Not every dog can become a Service Dog.
I had to learn to stop and look before crossing the street.
I had to learn that I could be a plain old playful dog as long as my halter was off. But once it was on… I was working.
After a long time in school, I graduated and my trainer introduced me to BJ. 
The person who would become my master. We were both excited.
We trained together for several weeks and became very good friends. 
She was really nice and we always spent fun-time together once she took my halter off.
One day the trainer said we were ready and I was off to a new home with my master and friend.
We went shopping, visited friends, ate in fine restaurants, and traveled across the country.
I took care of BJ.
I would always try to make things better for her.
BJ took care of me.
She knew when I didn’t feel right and could tell if I were happy or unhappy, sad, grumpy, or whatever.
A long time has passed and now I can’t help my friend any more.
BJ is off to school again and training with a new Service Dog.
I will meet him tomorrow and help him understand his new master.
Then I become like my other brothers and sisters.
I become a good friend for people in a good family.
You really couldn’t ask for more."
Dylan the Dragon & the Playground Ride,Zani Mathoo,Friendship,"Dylan the young, blue dragon lived deep in the Rockstone Mountains of Scotland. 
Everyday the playful, young dragon woke up early in the morning and flew all around the mountains and valleys looking for something to do.
“Wash your wings and get ready for tea. I’ve made your favourite today, darling… pea and toad soup” said mummy dragon.
Dylan sighed, “Ehhh…Thank you mum.” he said sadly.
“I’m lonely, mum. I can’t find anyone to play with. I have no friends, and no one to care for. In all the lakes, mountains and valleys in Rockstone, there isn’t a single dragon for me to play with.” he grumbled
“Well, how about this for an idea? Why don’t you fly down to the village playground and see if the children there want to play with you?”
Dylan woke up bright and early the next day. 
He put on his baseball cap and school tie and flew past the valleys and mountains until he reached the little village of Falkrik.
He glided down to a passer-by to ask for directions to the children’s playground.
“That.. that.. that way.” pointed the quivering man.
“Oh! He must be cold.” thought Dylan. 
Not long after, Dylan the dragon came in for a swift landing in the centre of the playground. 
The playground was filled with smart young children in bright red and grey uniforms with their school ties. 
He was about to open his mouth to introduce himself when he suddenly heard…
“AAARRRRRGGGGGGHHHHHHHH!!! ruuuunnnnnnnnn It’s a dragon, he’s going to burn us ALIVE!!!!!!!” yelled one of the young boys.
All the children ran frantically towards the exits and disappeared in no time.
Dylan sighed sadly. 
All he wanted was some friends to play with but clearly humans were very scared of dragons.
The next day Dylan decided to try and make friends with the children in the playground again. 
He tucked his white handkerchief in his left gill and scooped up a large branch lying on the floor. 
He made it into a white surrender flag… He crossed his claws and hoped the children would give him a another chance.
Down he flew again into the centre of the playground with his white surrender flag clenched in his jaw. 
“I just want to play and be friends.” he said softly.
“But how will you play with us?” shouted one of the girls. 
“You’re too big for our swings and slides. You won’t fit in our roundabout.”
“Well, why don’t I take you all for a ride to the valleys and the mountains of Rockstone?”
“Yay!!” squealed all the children at once. 
They climbed onto Dylan’s back and off the children went on a very exciting flight.
From that day Dylan and the playground children were friends and every day Dylan, the dragon would take the children on the best playground ride ever."
The Amazing Invisible Tiger,T. Albert,Friendship,"Sophie and Ashley have a new friend.  His name is Baba, the Monkey, he cares for them.  Sometimes he can be very naughty.  But he is really a very nice monkey.  Today, he meets two new friends.
Sophie walks with Baba down the street towards Josh’s house.  Well, Sophie is walking.  But Baba does not walk.  He likes to run and jump and do cartwheels down the pavement.
Sophie knocks on Josh’s front door.  Hmmm! No answer.  “I wonder if Josh is in the garden behind his house.” says Sophie.  Baba is still doing cartwheels on the pavement.
“Come on, Baba.” says Sophie.  Hmmm! No Josh.  But Sophie hears Josh’s voice.  She looks up; his bedroom window is open.
“Josh!” shouts Sophie.  “Josh!”  For once Baba stops running and jumping and doing cartwheels.  
There he is! Josh pops his head out of his bedroom window. “Hi Sophie,” says Josh. “Who is your new friend?” “This is Baba.” answers Sophie. “Do you want to come out and play?”
“I can’t,” says Josh.  “I have a problem in my bedroom.”  “What is it?” asks Sophie.  She and Baba both look up at Josh.  “I have an invisible tiger in my room!”
“What!” say Sophie and Baba at the same time.  “It’s true,” says Josh.  “Come on up.  The back door is open.”  So Sophie and Baba go through the back door of Josh’s house.  They go upstairs to his bedroom.
Sophie and Baba go into Josh’s bedroom and he closes the door quickly.
Sophie says, “Josh - this is Baba.  Baba - this is Josh.”  Then she asks, “Why do we have to come in quickly?”“I don’t want the tiger to escape,” answers Josh. 
Sophie and Baba look at each other.  Then they start to laugh.  “Josh,” says Sophie.  “Are you sure you’re okay?  There’s no tiger in here.”  Suddenly they hear a roar!
“I am Lexa, the Tiger.” says a voice.  Sophie and Baba are scared.  They jump back.  Their mouths and their eyes are wide open.  “See,” says Josh.  “There is a tiger in my bedroom.”
“And not just any tiger,” says Lexa.  “I am a special tiger.”  “Why are you special?” asks Baba.  “And how do we know you’re a tiger?” says Sophie.  “We can’t even see you.”
“Don’t make her angry!” says Josh.  “She is already in a bad mood.”  Lexa roars again.  Josh and Sophie and Baba all take a step backwards.  They are scared.
“So you want to see me?” asks Lexa.  “Watch this!”  And suddenly, there she is, standing in Josh’s bedroom; a very pretty tiger with beautiful stripes.
Sophie and Baba and Josh all say, “Wow!”  Lexa is pretty, but she is not happy.  “Why are you in a bad mood?” asks Sophie.  “Because my paw hurts,” answers Lexa.
“Let me see,” says Sophie.  Lexa puts out her paw and Sophie holds it.  Sophie looks very closely at Lexa’s paw.  “I think I see the problem,” says Sophie.  “It’s a thorn.
“A thorn?” asks Lexa.  “I can help you,” says Sophie.  She has small fingers so she can easily pull out the thorn.  “Is that better now?” asks Sophie.  “Yes,” answers Lexa.  “Thank you so much!”

So now there is a new friend on the street.  Sophie and Josh are so excited. They want to show their new friend Lexa to their other friend, Tom.  They hope Lexa does not become invisible again!"
Goby's Noisy Best Friend,Sheila Dhir,Friendship,"Goby and Snap lived deep down in the blue ocean. 
They were best friends, and care for each other. 
But they looked so different from each other! 
Goby was a fish with seven fins and no legs. 
He had very powerful eyes. 
Snap was a pistol shrimp with many legs. 
She had big, noisy claws. But she could not see very well. 
CLICK, CLICK, CLICKETY CLACKET! 
Oh oh, what a racket! 
The noise from Snap’s claws scared away many animals in the ocean. 
Snap’s eyes were weak, so she often got lost in the dark ocean. 
CLICK, CLICK, CLICKETY CLACKET! 
Oh oh, what a racket! 
Don’t worry. Her best friend Goby was always nearby to take her home. 
Snap shared her cosy burrow home with Goby. 
She clawed away any sand that fell into the burrow. 
CLICK, CLICK, CLICKETY CLACKET! 
Oh oh, what a racket! 
Their home was always clean and tidy. 
One day, Goby went for a swim on his own. 
“Ah, no more loud clickety-clacks, ” he said. 
“Do I really need such a noisy best friend?” he wondered
Suddenly, Goby spotted two bright eyes in front of him. 
It was a big, hungry, sea bass fish! 
“Time for a goby fish sandwich, ” said the sea bass. It swam closer
Goby closed his eyes, shivering with fright. 
CLICK, CLICK, CLICKETY CLACKET! 
Oh oh, what a racket! 
“What is that terrible noise?” asked the sea bass. 
It was Snap! 
CLICK, CLICK, CLICKETY CLACKET! 
Oh oh, what a racket! 
It was too loud for the sea bass. It swam far, far away. 
PHEW! Goby hugged Snap. 
What would he do without his noisy best friend!"
